Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Aranda",2319,12,0,0,153,2483,
"Belconnen",3879,55,0,0,501,4436,
"Bruce",5511,50,3,0,828,6390,
"Charnwood",2796,91,0,4,175,3069,
"Cook",2781,19,3,0,98,2903,
"Dunlop",6795,135,6,6,167,7111,
"Evatt",5246,48,0,0,114,5412,
"Florey",4814,41,0,0,189,5040,
"Flynn (ACT)",3240,43,0,0,271,3556,
"Fraser",2066,18,0,0,40,2121,
"Giralang",3140,43,0,0,118,3303,
"Gooromon",0,0,0,0,3,3,
"Hawker",2749,16,0,0,112,2876,
"Higgins",2992,26,0,0,75,3092,
"Holt",4545,74,11,3,177,4814,
"Kaleen",7053,86,3,0,175,7312,
"Latham",3423,41,0,0,133,3603,
"Lawson",0,0,0,0,0,0,
"Macgregor (ACT)",5247,78,0,5,176,5504,
"Macquarie",2406,42,0,0,108,2556,
"McKellar",2703,22,0,0,69,2798,
"Melba",3056,32,0,0,111,3200,
"Page",2762,30,3,0,85,2878,
"Scullin",2675,33,0,0,104,2814,
"Spence",2414,32,0,5,104,2559,
"Weetangera",2536,14,0,0,57,2608,
"ACT - South West",464,3,0,0,20,488,
"Molonglo",28,0,0,0,0,28,
"Namadgi",27,0,0,0,3,33,
"ACT - East",798,27,0,0,86,915,
"Hume",258,38,0,0,10,309,
"Kowen",36,0,0,0,0,36,
"Majura",235,3,0,0,11,251,
"Amaroo",5407,72,0,0,92,5570,
"Bonner",1427,19,0,0,49,1493,
"Casey",1402,21,0,0,66,1490,
"Crace",542,10,0,0,9,562,
"Forde",2236,26,0,0,62,2324,
"Franklin",3623,39,0,3,143,3805,
"Gungahlin",5259,56,0,0,300,5616,
"Gungahlin - East",27,3,3,0,7,35,
"Gungahlin - West",0,0,0,0,0,0,
"Hall",325,0,0,0,5,334,
"Harrison",4224,44,0,3,172,4440,
"Mitchell",6,0,0,0,0,6,
"Ngunnawal",8579,137,6,6,254,8983,
"Nicholls",6711,37,0,3,200,6950,
"Palmerston",5472,79,0,0,132,5681,
"Acton",1811,5,3,0,142,1968,
"Ainslie",4822,65,0,0,217,5102,
"Braddon",4079,54,0,0,424,4559,
"Campbell",4674,30,5,3,216,4932,
"Civic",2508,9,0,0,308,2823,
"Dickson",2009,42,0,0,90,2140,
"Downer",3319,58,3,0,170,3555,
"Hackett",2809,49,0,3,58,2913,
"Lyneham",4104,31,0,3,347,4486,
"O'Connor (ACT)",5005,45,0,0,200,5250,
"Reid",1401,25,0,0,151,1583,
"Turner",3255,35,0,0,299,3594,
"Watson",4887,56,3,0,181,5122,
"Deakin",2667,10,0,0,106,2783,
"Forrest",1386,3,0,0,84,1467,
"Griffith (ACT)",3655,35,5,0,203,3901,
"Kingston - Barton",3667,78,0,0,418,4163,
"Lake Burley Griffin",0,0,0,0,0,0,
"Narrabundah",5352,142,5,7,164,5671,
"Parkes (ACT)",0,0,0,0,0,0,
"Red Hill (ACT)",3126,32,3,4,88,3249,
"Yarralumla",2790,35,0,3,92,2922,
"Banks",4638,121,6,4,292,5060,
"Bonython",3635,74,3,4,128,3837,
"Calwell",5574,80,3,0,178,5832,
"Chisholm",5017,93,9,0,118,5237,
"Conder",5043,96,11,3,161,5315,
"Fadden",2993,26,0,0,58,3082,
"Gilmore",2724,62,11,0,41,2841,
"Gordon (ACT)",7275,161,0,3,327,7767,
"Gowrie (ACT)",2908,45,3,0,115,3070,
"Greenway",1392,30,0,0,29,1452,
"Isabella Plains",4082,103,0,0,128,4315,
"Kambah",14669,300,23,15,440,15448,
"Macarthur",1421,11,0,4,26,1459,
"Monash",5223,86,0,4,109,5423,
"Mount Taylor",4,0,0,0,0,4,
"Oxley (ACT)",1692,41,3,3,49,1783,
"Richardson",2928,79,0,0,120,3133,
"Theodore",3795,84,0,3,134,4019,
"Tuggeranong",27,3,0,0,0,29,
"Wanniassa",7406,172,0,0,206,7787,
"Chapman",2658,19,0,3,44,2722,
"Duffy",3104,47,0,0,87,3241,
"Fisher",2912,38,3,0,70,3014,
"Holder",2610,29,0,0,72,2710,
"Rivett",2961,53,0,0,104,3121,
"Stirling",2009,32,7,0,39,2085,
"Waramanga",2452,29,0,0,114,2596,
"Weston",3142,28,0,0,85,3255,
"Chifley",2364,55,4,0,66,2488,
"Curtin",4997,45,5,3,121,5175,
"Farrer",3265,15,0,4,81,3357,
"Garran",3111,16,0,0,67,3197,
"Hughes",2809,23,0,0,118,2955,
"Isaacs",2292,9,0,0,50,2351,
"Lyons (ACT)",2554,47,0,0,131,2734,
"Mawson",2788,21,0,0,115,2919,
"O'Malley",859,0,0,0,11,873,
"Pearce",2420,40,3,4,81,2543,
"Phillip",1965,27,3,0,88,2084,
"Torrens",2178,36,0,0,72,2284,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,
"No Usual Address (ACT)",570,26,0,0,34,630,
"Total",338029,4859,190,138,14007,357218,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
