Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Darwin Airport",421,4,0,0,28,450,
"Darwin City",3575,198,5,4,755,4545,
"East Point",12,29,0,0,3,42,
"Fannie Bay - The Gardens",2710,262,9,16,257,3256,
"Larrakeyah",2752,79,5,3,395,3244,
"Ludmilla - The Narrows",2139,432,9,20,261,2864,
"Parap",1684,114,3,5,169,1976,
"Stuart Park",3243,116,18,11,367,3748,
"Woolner - Bayview - Winnellie",2391,60,0,5,193,2651,
"Alawa",1639,166,11,15,293,2124,
"Anula",1894,256,7,49,192,2405,
"Berrimah",1585,752,10,13,153,2524,
"Brinkin - Nakara",2752,98,13,15,175,3055,
"Buffalo Creek",0,3,0,0,0,4,
"Charles Darwin",9,0,0,0,3,11,
"Coconut Grove",2287,256,8,16,284,2851,
"East Arm",3,0,0,0,0,9,
"Jingili",1505,199,3,11,97,1819,
"Karama",3668,635,48,101,394,4845,
"Leanyer",3850,278,11,41,520,4693,
"Lyons (NT)",1937,59,0,3,70,2074,
"Malak - Marrara",3592,507,29,78,550,4756,
"Millner",1979,188,9,34,255,2467,
"Moil",1639,206,5,24,148,2027,
"Nightcliff",3077,150,18,19,401,3655,
"Rapid Creek",2559,168,10,10,514,3270,
"Tiwi",2060,209,10,16,207,2510,
"Wagaman",1695,130,9,13,268,2111,
"Wanguri",1500,137,3,16,120,1777,
"Wulagi",1993,226,3,39,362,2621,
"Howard Springs",3435,285,20,8,552,4299,
"Humpty Doo",6491,454,25,62,772,7799,
"Koolpinyah",18,0,0,0,0,20,
"Virginia",2366,120,11,11,348,2851,
"Weddell",2613,313,19,12,701,3647,
"Bakewell",2573,330,20,29,240,3190,
"Driver",2277,298,13,11,361,2961,
"Durack - Marlow Lagoon",3282,164,5,5,210,3665,
"Gray",2472,468,21,28,325,3311,
"Moulden",2042,608,22,40,476,3191,
"Palmerston - North",3722,234,22,20,128,4132,
"Palmerston - South",7,0,0,0,0,7,
"Rosebery - Bellamack",3212,198,10,24,299,3744,
"Woodroffe",2604,378,20,38,380,3419,
"Charles",3014,1060,4,15,364,4457,
"East Side",3801,943,8,6,483,5233,
"Flynn (NT)",3412,770,10,8,311,4505,
"Larapinta",3647,950,6,10,425,5042,
"Mount Johns",2941,347,3,3,347,3642,
"Petermann - Simpson",992,886,0,26,260,2164,
"Ross",1601,529,3,3,160,2304,
"Sandover - Plenty",366,3267,6,12,87,3727,
"Tanami",467,2399,0,9,53,2930,
"Yuendumu - Anmatjere",241,1776,0,6,42,2060,
"Barkly",471,2082,0,9,98,2660,
"Tennant Creek",1205,1565,7,17,260,3061,
"Alligator",2719,979,13,34,482,4234,
"Daly",611,1255,0,7,56,1925,
"Thamarrurr",175,2101,0,18,13,2305,
"Tiwi Islands",296,2226,14,25,17,2579,
"West Arnhem",434,4206,10,20,37,4705,
"Anindilyakwa",951,1531,4,26,62,2572,
"East Arnhem",624,6644,21,161,52,7511,
"Nhulunbuy",3384,205,18,22,310,3933,
"Elsey",457,1551,0,15,35,2053,
"Gulf",556,3323,8,86,68,4044,
"Katherine",5998,2228,44,95,840,9210,
"Victoria River",549,1855,5,54,59,2517,
"Migratory - Offshore - Shipping (NT)",89,0,0,0,15,107,
"No Usual Address (NT)",1510,127,0,3,232,1870,
"Total",137773,54571,675,1532,17393,211943,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
