Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Alfredton",8009,63,0,3,272,8345,
"Ballarat",11483,77,3,0,510,12077,
"Ballarat - North",21025,213,11,4,778,22026,
"Ballarat - South",21289,310,27,4,1157,22784,
"Buninyong",6369,37,0,0,198,6599,
"Delacombe",5385,66,12,3,280,5750,
"Smythes Creek",3568,37,0,0,171,3779,
"Wendouree - Miners Rest",13251,240,32,12,673,14210,
"Bacchus Marsh Region",5265,42,0,0,235,5545,
"Creswick - Clunes",7117,71,7,0,229,7423,
"Daylesford",7870,22,3,0,498,8392,
"Gordon (Vic.)",5162,47,0,0,200,5414,
"Avoca",3126,24,0,0,151,3301,
"Beaufort",3632,49,4,0,147,3832,
"Golden Plains - North",3867,21,4,0,165,4061,
"Maryborough (Vic.)",7240,71,8,3,309,7631,
"Maryborough Region",4848,51,3,0,156,5063,
"Bendigo",13360,337,7,7,791,14509,
"California Gully - Eaglehawk",9480,223,10,3,407,10128,
"East Bendigo - Kennington",13130,90,5,3,451,13683,
"Flora Hill - Spring Gully",8741,74,0,3,370,9190,
"Kangaroo Flat - Golden Square",17507,273,7,10,613,18409,
"Maiden Gully",4273,25,0,0,107,4402,
"Strathfieldsaye",6865,36,11,0,126,7032,
"White Hills - Ascot",8274,125,8,7,325,8735,
"Bendigo Region - South",5899,55,3,0,246,6204,
"Castlemaine",9166,121,9,3,441,9733,
"Castlemaine Region",7781,45,3,0,345,8179,
"Heathcote",3768,52,9,0,248,4073,
"Kyneton",8488,36,3,0,312,8832,
"Woodend",6102,32,3,0,276,6409,
"Bendigo Region - North",3963,50,3,0,147,4163,
"Loddon",6519,93,3,0,401,7027,
"Bannockburn",4586,16,0,0,115,4714,
"Golden Plains - South",5987,38,0,6,182,6217,
