Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Augusta",4148,42,0,0,245,4434,
"Busselton",20501,419,4,3,975,21898,
"Busselton Region",7889,63,0,3,421,8385,
"Margaret River",6672,78,0,0,582,7323,
"Australind - Leschenault",13855,255,3,4,725,14843,
"Bunbury",15702,412,10,7,980,17109,
"Capel",4223,91,0,0,374,4689,
"College Grove - Carey Park",5669,333,9,0,505,6519,
"Collie",8348,266,11,8,491,9126,
"Dardanup",2816,23,0,0,144,2984,
"Davenport",4,0,0,0,3,10,
"Eaton - Pelican Point",9607,214,3,9,401,10240,
"Gelorup - Dalyellup - Stratham",9334,229,9,0,421,9995,
"Harvey",7623,190,3,7,569,8393,
"Koombana",6287,176,4,8,415,6894,
"Waroona",3329,103,0,0,154,3582,
"Bridgetown - Boyup Brook",5676,78,0,0,156,5906,
"Donnybrook - Balingup",4999,94,3,5,216,5322,
"Manjimup",5015,175,15,0,216,5415,
"Pemberton",4720,71,5,0,235,5030,
"Dawesville - Bouvard",5190,56,0,0,304,5548,
"Falcon - Wannanup",6973,108,4,0,356,7434,
"Greenfields",9165,285,3,3,480,9939,
"Halls Head - Erskine",16033,193,17,3,900,17146,
"Mandurah",7727,239,11,3,588,8569,
"Mandurah - East",4546,36,5,0,329,4914,
"Mandurah - North",11486,133,7,0,860,12486,
"Mandurah - South",8429,247,8,0,593,9275,
"Pinjarra",7324,203,10,9,436,7978,
"City Beach",6123,3,0,3,223,6356,
"Claremont (WA)",7066,29,3,0,491,7593,
"Cottesloe",6762,8,0,0,625,7400,
"Floreat",7027,13,0,0,191,7229,
"Mosman Park - Peppermint Grove",9376,120,3,9,617,10125,
"Nedlands - Dalkeith - Crawley",16732,51,3,3,765,17549,
"Swanbourne - Mount Claremont",7562,14,0,0,309,7887,
"Kings Park (WA)",26,0,0,0,7,34,
"Mount Hawthorn - Leederville",9596,49,0,0,660,10299,
"Mount Lawley - Inglewood",15205,97,4,3,902,16207,
"North Perth",7964,31,3,0,552,8544,
"Perth City",21657,155,4,4,3683,25506,
"Subiaco - Shenton Park",14065,71,3,0,917,15058,
"Wembley - West Leederville - Glendalough",15343,56,8,3,1156,16566,
"Bassendean - Eden Hill - Ashfield",13325,373,10,4,691,14405,
"Bayswater - Embleton - Bedford",19757,340,20,9,1081,21210,
"Maylands",11160,154,5,4,1026,12351,
"Morley",19178,231,7,24,865,20300,
"Noranda",7801,26,0,7,243,8077,
"Chidlow",3432,429,0,8,150,4023,
"Glen Forrest - Darlington",6629,48,0,0,368,7043,
"Helena Valley - Koongamia",4312,101,0,0,239,4660,
"Malmalling - Reservoir",18,0,0,0,0,18,
"Mundaring",11910,131,4,0,611,12653,
"Swan View - Greenmount - Midvale",10869,529,3,3,607,12016,
"Avon Valley National Park",0,0,0,0,0,0,
"Ballajura",17943,410,0,4,730,19084,
"Beechboro",13944,444,6,9,807,15206,
"Bullsbrook",4019,62,3,0,247,4327,
"Ellenbrook",21840,516,30,25,997,23399,
"Gidgegannup",2332,20,0,4,176,2533,
"Hazelmere - South Guildford",3330,76,0,0,226,3635,
"Lockridge - Kiara",7226,452,10,3,362,8057,
"Malaga",10,0,0,0,0,14,
"Melaleuca - Lexia",0,0,0,0,3,3,
"Middle Swan - Herne Hill",4470,219,0,0,500,5188,
"Midland - Guildford",8467,320,8,10,782,9585,
"Stratton - Jane Brook",6135,282,0,0,300,6721,
"The Vines",5145,54,6,0,202,5403,
"Walyunga National Park",0,0,0,0,0,0,
"Craigie - Beldon",9027,124,3,3,438,9595,
"Currambine - Kinross",13576,57,3,9,302,13946,
"Duncraig",14657,47,17,0,308,15023,
"Greenwood - Warwick",12875,113,11,0,430,13426,
"Heathridge - Connolly",9892,90,0,13,425,10417,
"Hillarys",10305,29,0,0,342,10682,
"Iluka - Burns Beach",6017,15,0,0,135,6164,
"Joondalup - Edgewater",12967,63,3,0,693,13728,
"Kingsley",12801,60,0,0,357,13220,
"Mullaloo - Kallaroo",10526,36,3,3,438,11005,
"Ocean Reef",7773,30,0,0,299,8107,
"Padbury",7932,66,0,3,364,8368,
"Sorrento - Marmion",9030,35,0,0,473,9541,
"Woodvale",8919,31,0,0,253,9202,
"Balcatta - Hamersley",14127,152,3,0,694,14975,
"Balga - Mirrabooka",15694,706,19,18,1613,18045,
"Dianella",21966,142,5,5,1002,23114,
"Herdsman",0,0,0,0,0,0,
"Innaloo - Doubleview",14035,180,3,9,995,15219,
"Karrinyup - Gwelup - Carine",18141,103,9,0,672,18928,
"Nollamara - Westminster",13649,365,8,4,1029,15060,
"Osborne Park Industrial",7,0,0,0,0,7,
"Scarborough",12615,96,7,3,1547,14273,
"Stirling - Osborne Park",12314,74,4,0,804,13204,
"Trigg - North Beach - Watermans Bay",6507,62,0,0,355,6925,
"Tuart Hill - Joondanna",10344,81,3,5,839,11268,
"Wembley Downs - Churchlands - Woodlands",12253,68,0,0,274,12602,
"Yokine - Coolbinia - Menora",14018,91,0,4,712,14825,
"Alexander Heights - Koondoola",10735,271,7,4,570,11591,
"Butler - Merriwa - Ridgewood",17514,339,9,3,1363,19226,
"Carramar",10697,159,0,11,462,11333,
"Clarkson",10540,244,8,10,891,11688,
"Girrawheen",7512,256,8,0,555,8333,
"Madeley - Darch - Landsdale",18373,88,6,0,504,18978,
"Marangaroo",9927,176,0,3,409,10520,
"Mindarie - Quinns Rocks - Jindalee",16442,216,12,0,842,17508,
"Neerabup National Park",0,0,0,0,0,0,
"Tapping - Ashby - Sinagra",11898,91,7,5,544,12534,
"Wanneroo",21731,247,12,3,963,22953,
"Yanchep",6831,116,4,7,484,7441,
"Armadale - Wungong - Brookdale",14276,828,20,13,1106,16239,
"Ashendon - Lesley",0,0,0,0,0,0,
"Camillo - Champion Lakes",4735,192,3,0,315,5255,
"Forrestdale - Harrisdale - Piara Waters",7172,47,0,0,242,7456,
"Kelmscott",9089,235,8,6,680,10020,
"Mount Nasura - Mount Richon - Bedfordale",6897,64,0,0,367,7329,
"Roleystone",6544,34,0,5,191,6775,
"Seville Grove",8377,278,5,3,559,9219,
"Belmont - Ascot - Redcliffe",11772,354,5,12,1143,13288,
"East Victoria Park - Carlisle",13771,313,4,5,899,14992,
"Kewdale Commercial",3,0,0,0,0,3,
"Perth Airport",52,0,0,0,0,52,
"Rivervale - Kewdale - Cloverdale",19764,647,15,18,1416,21862,
"Victoria Park - Lathlain - Burswood",12317,78,0,0,1210,13610,
"Bentley - Wilson - St James",17786,408,0,3,1362,19557,
"Canning Vale - West",9864,41,0,0,252,10160,
