Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Main Statistical Area Structure (Main ASGS) (UR) by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Main Statistical Area Structure (Main ASGS) (UR)",
"Goulburn",20059,624,29,5,766,21485,
"Goulburn Region",10854,200,8,0,556,11615,
"Yass",5816,197,3,0,317,6331,
"Yass Region",9775,106,3,7,505,10397,
"Young",9448,331,3,0,498,10280,
"Young Region",6836,230,5,6,317,7394,
"Braidwood",3100,43,0,0,206,3356,
"Karabar",7751,426,12,14,404,8602,
"Queanbeyan",9360,253,0,5,608,10233,
"Queanbeyan - East",4236,119,3,5,277,4639,
"Queanbeyan Region",13119,219,3,0,768,14111,
"Queanbeyan West - Jerrabomberra",11931,272,8,7,363,12572,
"Bombala",2296,38,3,6,79,2419,
"Cooma",6201,195,10,6,268,6677,
"Cooma Region",2992,55,0,0,129,3175,
"Jindabyne - Berridale",5690,57,8,0,901,6664,
"Batemans Bay",6605,426,8,0,468,7504,
"Batemans Bay - South",7343,276,5,0,593,8223,
"Bega - Tathra",7390,267,4,9,385,8046,
"Bega-Eden Hinterland",8170,182,7,3,407,8767,
"Broulee - Tomakin",2589,69,4,4,162,2827,
"Deua - Wadbilliga",56,0,0,0,0,57,
"Eden",2885,226,8,4,90,3207,
"Eurobodalla Hinterland",2803,231,7,3,169,3211,
"Merimbula - Tura Beach",9229,154,0,0,395,9779,
"Moruya - Tuross Head",6980,398,8,6,229,7616,
"Narooma - Bermagui",7839,405,8,3,377,8632,
"Avoca Beach - Copacabana",6570,119,5,0,309,7010,
"Box Head - MacMasters Beach",9675,171,3,6,477,10338,
"Calga - Kulnura",4044,87,4,0,294,4422,
"Erina - Green Point",12953,163,16,4,461,13591,
"Gosford - Springfield",16316,400,12,3,1342,18072,
"Kariong",6075,170,0,4,203,6453,
"Kincumber - Picketts Valley",6698,167,10,0,228,7110,
"Narara",6142,153,3,3,196,6492,
"Niagara Park - Lisarow",7575,147,5,0,322,8052,
"Point Clare - Koolewong",5791,72,7,0,441,6314,
"Saratoga - Davistown",6293,131,4,7,203,6637,
"Terrigal - North Avoca",11702,122,4,3,731,12566,
"Umina - Booker Bay - Patonga",20780,684,14,15,1042,22534,
"Wamberal - Forresters Beach",8561,150,0,5,372,9090,
"Woy Woy - Blackwall",12088,422,17,3,718,13252,
"Wyoming",10506,246,9,3,428,11189,
"Bateau Bay - Killarney Vale",20082,621,15,16,649,21379,
"Blue Haven - San Remo",9808,519,16,16,420,10781,
"Budgewoi - Buff Point - Halekulani",8281,369,4,0,309,8968,
"Chittaway Bay - Tumbi Umbi",14398,410,11,0,520,15347,
"Gorokan - Kanwal - Charmhaven",18936,905,17,25,792,20675,
"Jilliby - Yarramalong",2745,64,3,0,195,3011,
"Lake Munmorah - Mannering Park",9427,311,6,3,316,10063,
"Ourimbah - Fountaindale",4513,104,4,3,172,4794,
"Summerland Point - Gwandalan",5068,165,3,0,157,5400,
"The Entrance",12544,489,37,7,905,13987,
"Toukley - Norah Head",8173,364,11,13,442,8999,
"Tuggerah - Kangy Angy",4636,128,0,3,267,5036,
"Warnervale - Wadalba",11544,336,12,11,587,12496,
"Wyong",7324,404,16,3,407,8152,
"Bathurst",20915,941,17,26,1082,22985,
"Bathurst - East",8597,490,11,6,394,9498,
"Bathurst Region",6141,147,4,8,310,6612,
"Oberon",4152,124,11,0,171,4459,
"Condobolin",5543,1061,7,7,272,6892,
"Cowra",7694,684,12,8,527,8926,
"Cowra Region",5012,143,8,0,184,5347,
"Forbes",8543,867,26,17,347,9805,
"Grenfell",3444,66,0,0,135,3646,
"Parkes (NSW)",9505,794,9,7,626,10939,
"Parkes Region",2827,382,6,0,185,3390,
"West Wyalong",5470,228,4,0,146,5850,
"Lithgow",11064,541,32,3,608,12251,
"Lithgow Region",7153,312,12,0,422,7895,
"Mudgee",9433,430,16,3,609,10484,
"Mudgee Region - East",3093,113,6,0,127,3345,
"Mudgee Region - West",8910,382,6,3,648,9950,
"Wollangambe - Wollemi",0,0,0,0,0,0,
"Blayney",6481,199,5,0,322,7007,
"Orange",17447,1120,26,28,1006,19629,
"Orange - North",15218,789,12,9,815,16835,
"Orange Region",10341,314,8,8,325,10997,
"Grafton",16199,1370,33,22,733,18360,
"Grafton Region",13719,672,21,19,606,15033,
"Maclean - Yamba - Iluka",14577,667,22,5,570,15845,
"Bellingen",5389,151,0,0,157,5704,
"Coffs Harbour - North",14737,759,18,19,810,16342,
"Coffs Harbour - South",9020,346,7,6,431,9817,
"Coramba - Nana Glen - Bucca",3347,104,0,3,130,3584,
"Dorrigo",3000,116,5,3,162,3291,
"Korora - Emerald Beach",7242,132,3,0,318,7696,
"Sawtell - Boambee",17437,839,13,12,636,18940,
"Urunga",4284,147,0,0,104,4545,
"Woolgoolga - Arrawarra",10447,444,35,24,495,11448,
"Bourke - Brewarrina",2131,1668,12,18,458,4285,
"Cobar",3770,589,10,8,346,4717,
"Coonamble",2816,1181,3,0,249,4259,
"Nyngan - Warren",4151,756,6,3,291,5208,
"Walgett - Lightning Ridge",4299,1993,10,19,495,6822,
"Broken Hill",16021,1357,18,21,1097,18519,
"Far West",1786,797,3,0,98,2686,
"Coonabarabran",6939,785,7,15,425,8174,
"Dubbo - East",8578,1731,19,23,496,10849,
"Dubbo - South",13477,1581,18,23,625,15724,
"Dubbo - West",5777,1318,21,19,275,7419,
"Dubbo Region",4591,233,3,3,330,5165,
"Gilgandra",3699,525,3,6,225,4459,
"Narromine",5077,1268,18,18,294,6681,
"Wellington",6493,1673,28,25,411,8623,
"Branxton - Greta - Pokolbin",8563,311,9,6,381,9272,
"Cessnock",18068,934,49,47,1172,20262,
"Cessnock Region",6487,246,12,0,289,7034,
"Dungog",7724,252,11,8,329,8317,
"Kurri Kurri - Abermain",14749,854,12,21,566,16198,
"Singleton",14843,652,19,14,612,16133,
"Singleton Region",4404,123,0,3,234,4759,
"Maitland",4357,171,10,3,231,4772,
"Maitland - East",23995,802,30,13,964,25808,
"Maitland - North",6306,104,0,3,193,6616,
"Maitland - West",16808,745,11,23,700,18284,
"Thornton - Millers Forest",8272,196,9,0,255,8724,
"Anna Bay",5058,113,8,0,249,5431,
"Lemon Tree Passage - Tanilba Bay",5933,234,3,10,139,6317,
"Nelson Bay Peninsula",17841,347,28,8,1415,19644,
"Raymond Terrace",12225,832,13,11,646,13736,
"Seaham - Woodville",4971,131,0,5,193,5304,
"Tea Gardens - Hawks Nest",4135,142,3,9,217,4500,
"Williamtown - Medowie - Karuah",11490,517,15,5,552,12579,
"Muswellbrook",10417,692,17,8,660,11791,
"Muswellbrook Region",3598,132,3,0,268,3999,
"Scone",5456,186,4,4,226,5884,
"Scone Region",7175,318,15,13,356,7871,
"Berkeley - Warrawong - Windang",24281,944,12,10,1407,26649,
"Dapto - Avondale",20867,704,15,15,897,22498,
"Horsley - Kembla Grange",7158,134,0,0,123,7418,
"Port Kembla Industrial",27,0,0,0,0,27,
"Unanderra - Mount Kembla",14676,270,4,11,358,15321,
"Illawarra Catchment Reserve",9,0,0,0,7,11,
"Albion Park - Macquarie Pass",12981,257,11,5,362,13617,
"Albion Park Rail",6498,281,5,6,217,7002,
"Kiama",6906,56,0,9,192,7165,
"Kiama Downs - Minnamurra",5440,84,3,0,211,5738,
"Kiama Hinterland - Gerringong",6663,131,0,3,229,7025,
"Shellharbour - Flinders",12818,250,10,6,361,13447,
"Shellharbour - Oak Flats",9011,219,8,3,246,9492,
"Warilla",18268,826,36,8,917,20058,
"Balgownie - Fairy Meadow",18999,285,18,0,695,19998,
"Corrimal - Tarrawanna - Bellambi",14114,491,16,4,459,15084,
"Figtree - Keiraville",18815,230,6,10,825,19884,
"Helensburgh",7973,129,3,0,353,8458,
"Thirroul - Austinmer - Coalcliff",10030,121,7,0,418,10580,
"Wollongong",25757,374,19,3,1725,27884,
"Woonona - Bulli - Russell Vale",17645,362,16,6,602,18626,
"Bulahdelah - Stroud",4305,165,8,0,249,4728,
"Forster",12277,550,11,7,851,13699,
"Forster-Tuncurry Region",5152,222,3,3,235,5617,
"Tuncurry",5357,189,8,3,253,5799,
"Kempsey",11365,2240,13,50,621,14292,
"Kempsey Region",7961,532,3,8,440,8945,
"Macksville - Scotts Head",4158,286,5,0,192,4643,
"Nambucca Heads",5789,594,18,9,262,6664,
"Nambucca Heads Region",6621,438,7,3,268,7335,
"South West Rocks",4470,259,0,5,210,4953,
"Lord Howe Island",351,3,0,0,10,359,
"Laurieton - Bonny Hills",14688,415,10,10,608,15740,
"Port Macquarie - East",25197,631,19,34,839,26712,
"Port Macquarie - West",13650,591,9,6,746,15010,
"Port Macquarie Region",4654,131,5,3,246,5036,
"Wauchope",9224,541,10,5,436,10214,
"Gloucester",4485,227,0,0,154,4870,
"Old Bar - Manning Point - Red Head",8937,248,12,8,347,9558,
"Taree",17556,1563,38,36,920,20107,
"Taree Region",10502,358,13,6,633,11514,
"Wingham",4876,213,3,0,213,5312,
"Albury - East",12226,153,6,12,407,12805,
"Albury - North",8545,259,9,4,495,9309,
"Albury - South",9724,198,10,3,588,10524,
"Albury Region",10199,178,15,9,478,10875,
"Lavington",12877,427,15,7,598,13921,
"Hay",2684,168,0,0,141,2997,
"Wentworth - Buronga",4834,629,11,14,273,5771,
"Wentworth-Balranald Region",3212,184,7,6,251,3663,
"Corowa",5341,67,3,0,201,5606,
"Corowa Region",6145,92,0,6,266,6510,
"Deniliquin",6507,239,13,3,358,7121,
"Deniliquin Region",6267,211,3,0,316,6808,
"Moama",4779,116,0,0,216,5117,
"Tocumwal - Finley - Jerilderie",8698,192,6,3,403,9295,
"Armidale",19745,1441,9,18,1256,22469,
"Armidale Region - North",3845,213,7,3,218,4290,
"Armidale Region - South",5400,339,0,8,246,6000,
"Walcha",2873,226,3,0,88,3192,
"Glen Innes",7820,462,13,20,348,8655,
"Inverell",10154,773,24,22,427,11399,
"Inverell Region - East",4630,450,22,3,176,5283,
"Inverell Region - West",5259,168,24,3,163,5616,
"Tenterfield",5978,444,8,11,373,6809,
"Moree",5668,1839,26,19,848,8397,
"Moree Region",4420,922,7,13,194,5548,
"Narrabri",5862,715,24,16,314,6929,
"Narrabri Region",3983,559,9,4,253,4809,
"Gunnedah",7172,1119,5,11,416,8731,
"Gunnedah Region",3995,271,6,4,239,4521,
"Quirindi",6353,781,23,12,305,7477,
"Tamworth - East",17430,1513,23,29,905,19902,
"Tamworth - North",11782,872,29,11,823,13513,
"Tamworth - West",3838,1207,22,15,242,5322,
"Tamworth Region",15755,938,32,33,583,17342,
"Belmont - Bennetts Green",16146,381,6,4,608,17143,
"Belmont South - Blacksmiths",5234,178,0,7,200,5618,
"Charlestown - Dudley",22248,545,7,3,754,23554,
"Glendale - Cardiff - Hillsborough",21480,707,10,8,759,22966,
"Mount Hutton - Windale",7680,523,25,14,425,8660,
"Redhead",3357,41,3,0,56,3460,
"Swansea - Caves Beach",9895,290,8,4,532,10730,
"Valentine - Eleebana",11593,84,0,0,291,11967,
"Warners Bay - Boolaroo",12159,234,9,4,358,12761,
"Bolton Point - Teralba",7998,386,6,15,291,8699,
"Bonnells Bay - Silverwater",7462,219,9,3,245,7935,
"Edgeworth - Cameron Park",10677,472,6,0,271,11425,
"Morisset - Cooranbong",13074,367,14,3,383,13842,
"Toronto - Awaba",12239,508,12,16,490,13268,
"Wangi Wangi - Rathmines",8268,199,4,3,228,8708,
"West Wallsend - Barnsley - Killingworth",5685,228,7,3,217,6135,
"Adamstown - Kotara",14318,248,3,4,470,15043,
"Beresfield - Hexham",7562,414,15,16,362,8361,
"Hamilton - Broadmeadow",10914,301,9,5,510,11739,
"Lambton - New Lambton",15421,330,24,3,639,16406,
"Maryland - Fletcher - Minmi",10515,377,18,13,285,11213,
"Mayfield - Warabrook",13413,377,9,6,840,14643,
"Merewether - The Junction",12857,154,3,3,389,13399,
"Newcastle - Cooks Hill",9291,184,5,3,645,10136,
