Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Darwin Airport",11,0,0,0,0,17,
"Darwin City",5221,186,16,8,1028,6467,
"East Point",15,0,0,0,0,11,
"Fannie Bay - The Gardens",2917,116,0,4,305,3348,
"Larrakeyah",3152,88,5,0,489,3731,
"Ludmilla - The Narrows",1842,453,9,14,225,2543,
"Parap",2367,98,3,8,267,2745,
"Stuart Park",3461,148,14,7,520,4151,
"Woolner - Bayview - Winnellie",2512,64,0,0,235,2818,
"Alawa",1729,154,16,13,216,2130,
"Anula",1917,218,13,25,198,2369,
"Berrimah",749,359,0,6,159,1281,
"Brinkin - Nakara",3048,127,13,20,376,3580,
"Buffalo Creek",0,0,0,0,0,0,
"Charles Darwin",0,3,0,0,0,3,
"Coconut Grove",2417,240,10,15,365,3053,
"East Arm",10,4,0,0,0,9,
"Jingili",1448,127,6,16,161,1756,
"Karama",3649,591,42,109,555,4948,
"Leanyer",3932,258,19,30,344,4577,
"Lyons (NT)",4350,148,5,15,276,4799,
"Malak - Marrara",3507,427,32,84,496,4550,
"Millner",2111,131,14,26,263,2547,
"Moil",1640,147,16,19,184,2000,
"Nightcliff",3310,133,6,7,395,3853,
"Rapid Creek",2694,160,9,8,414,3280,
"Tiwi",2039,244,17,15,247,2561,
"Wagaman",1754,144,5,17,246,2163,
"Wanguri",1577,108,12,10,175,1876,
"Wulagi",1965,212,7,46,206,2438,
"Howard Springs",4394,1069,19,15,1491,6979,
"Humpty Doo",7071,516,34,54,1039,8706,
"Koolpinyah",16,0,0,0,0,25,
"Virginia",2682,211,11,13,375,3294,
"Weddell",3332,344,13,29,804,4521,
"Bakewell",2549,305,15,16,186,3073,
"Driver",2206,331,7,31,310,2885,
"Durack - Marlow Lagoon",3801,189,9,7,282,4289,
"Gray",2326,482,32,24,421,3285,
"Moulden",1843,664,14,70,364,2960,
"Palmerston - North",3595,264,20,31,317,4230,
"Palmerston - South",2603,210,6,16,225,3067,
"Rosebery - Bellamack",5775,404,18,43,432,6676,
"Woodroffe",2439,450,28,34,289,3235,
"Charles",2812,955,7,12,470,4257,
"East Side",3684,820,3,13,527,5048,
"Flynn (NT)",3061,761,9,16,538,4386,
"Larapinta",3551,837,20,21,455,4887,
"Mount Johns",2969,311,3,3,454,3738,
"Petermann - Simpson",1017,1026,32,22,369,2463,
"Ross",1540,567,0,5,326,2439,
"Sandover - Plenty",414,3387,0,17,210,4035,
"Tanami",292,2362,0,12,82,2745,
"Yuendumu - Anmatjere",182,1780,6,48,65,2083,
"Barkly",461,1961,0,5,109,2539,
"Tennant Creek",1212,1507,4,22,252,2997,
"Alligator",2788,1018,14,47,701,4564,
"Daly",467,1158,6,5,207,1836,
"Thamarrurr",170,2209,0,33,69,2475,
"Tiwi Islands",224,2136,7,46,43,2452,
"West Arnhem",310,4289,11,30,135,4776,
"Anindilyakwa",755,1600,5,16,119,2486,
"East Arnhem",440,6777,18,124,83,7438,
"Nhulunbuy",2408,310,14,14,352,3090,
"Elsey",464,1617,7,16,200,2296,
"Gulf",508,3345,10,167,118,4150,
"Katherine",5727,2084,33,59,1868,9780,
"Victoria River",416,1804,8,16,253,2489,
"Migratory - Offshore - Shipping (NT)",59,0,0,0,15,73,
"No Usual Address (NT)",1402,684,6,10,383,2485,
"Total",147328,55806,740,1692,23258,228838,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
