Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Adelaide",13451,190,11,8,1456,15113,
"North Adelaide",6276,39,6,0,634,6953,
"Adelaide Hills",6417,40,0,0,378,6830,
"Aldgate - Stirling",16654,64,3,0,744,17472,
"Hahndorf - Echunga",4191,13,0,0,258,4468,
"Lobethal - Woodside",8464,51,5,0,501,9023,
"Mount Barker",16311,204,19,5,830,17367,
"Mount Barker Region",5820,65,0,7,394,6285,
"Nairne",4752,54,0,0,243,5045,
"Uraidla - Summertown",5105,45,0,7,252,5418,
"Burnside - Wattle Park",17805,60,7,0,645,18517,
"Glenside - Beaumont",9191,38,3,4,369,9607,
"Toorak Gardens",15157,24,0,0,598,15788,
"Athelstone",8923,43,0,0,185,9150,
"Paradise - Newton",18794,151,6,10,764,19720,
"Rostrevor - Magill",20858,63,9,6,718,21654,
"Norwood (SA)",9343,55,8,4,660,10066,
"Payneham - Felixstow",11771,67,7,0,483,12338,
"St Peters - Marden",12387,71,0,0,492,12953,
"Nailsworth - Broadview",5813,38,3,0,226,6082,
"Prospect",13648,124,4,0,672,14445,
"Walkerville",7096,47,3,0,405,7553,
"Goodwood - Millswood",16668,87,0,0,825,17582,
"Unley - Parkside",19163,64,6,3,902,20136,
"Gawler - North",8706,95,0,0,396,9200,
"Gawler - South",18332,318,27,12,1118,19796,
"Lewiston - Two Wells",5136,140,8,0,346,5633,
"Craigmore - Blakeview",16967,380,6,10,755,18121,
"Davoren Park",15573,780,27,15,1268,17657,
"Elizabeth",8968,471,9,16,909,10373,
"Elizabeth East",11701,385,17,18,787,12913,
"Munno Para West - Angle Vale",11185,278,17,6,637,12130,
"One Tree Hill",2335,16,0,0,163,2517,
"Smithfield - Elizabeth North",10683,587,9,10,944,12234,
"Virginia - Waterloo Corner",3857,39,5,0,313,4219,
"Enfield - Blair Athol",21468,437,3,14,1255,23173,
"Northgate - Oakden - Gilles Plains",23048,544,0,7,996,24591,
"Windsor Gardens",19089,314,12,3,864,20289,
"Dry Creek - North",0,0,0,0,0,0,
"Ingle Farm",13945,295,0,0,592,14834,
"Para Hills",13755,223,5,0,603,14586,
"Parafield",100,0,0,0,0,105,
"Parafield Gardens",15925,347,15,14,646,16943,
"Paralowie",15632,373,14,5,724,16745,
"Salisbury",16222,403,7,0,979,17609,
"Salisbury East",16505,255,6,16,754,17533,
"Salisbury North",15781,470,29,8,928,17212,
"Mawson Lakes - Globe Derby Park",12667,91,0,5,567,13330,
"Pooraka - Cavan",7222,136,11,4,368,7736,
"Golden Grove",9923,68,11,0,344,10347,
"Greenwith",8621,72,0,0,289,8991,
"Highbury - Dernancourt",10099,56,3,0,312,10474,
"Hope Valley - Modbury",15522,211,12,9,676,16429,
"Modbury Heights",18141,183,5,0,570,18897,
"Redwood Park",15282,140,5,0,624,16050,
"St Agnes - Ridgehaven",11928,96,0,0,404,12428,
"Brighton (SA)",13139,75,4,8,597,13830,
"Glenelg (SA)",18493,129,7,6,1241,19869,
"Edwardstown",12697,151,4,6,647,13502,
"Hallett Cove",11990,78,0,6,316,12394,
"Marino - Seaview Downs",8859,70,0,0,345,9275,
"Mitchell Park",14237,228,17,6,670,15150,
"Morphettville",13865,143,12,8,632,14660,
"Sheidow Park - Trott Park",9735,91,13,0,280,10115,
"Warradale",13988,208,13,0,762,14965,
"Belair",4391,18,0,0,201,4600,
"Bellevue Heights",7061,59,0,3,304,7431,
"Blackwood",11541,63,0,0,387,11992,
"Colonel Light Gardens",15050,81,7,0,466,15600,
"Mitcham (SA)",15176,45,0,0,613,15837,
"Panorama",7615,54,8,0,385,8069,
"Aberfoyle Park",11268,74,3,5,302,11658,
"Aldinga",13954,251,9,0,1166,15381,
"Christie Downs",8337,288,14,21,683,9335,
"Christies Beach",9036,222,6,0,972,10237,
"Clarendon",2547,3,0,0,105,2654,
"Coromandel Valley",4136,29,0,0,150,4313,
"Flagstaff Hill",10053,63,9,3,394,10527,
"Hackham - Onkaparinga Hills",5980,120,6,3,207,6313,
"Hackham West - Huntfield Heights",6903,241,0,3,442,7588,
"Happy Valley",13015,118,4,0,476,13614,
"Happy Valley Reservoir",0,0,0,0,0,0,
"Lonsdale",24,0,0,0,3,24,
"McLaren Vale",5617,48,6,0,308,5979,
"Morphett Vale - East",12685,233,7,11,664,13600,
"Morphett Vale - West",8817,186,8,0,525,9537,
"Reynella",9681,121,4,10,347,10152,
"Seaford (SA)",20802,365,11,4,1177,22362,
"Willunga",3202,20,3,3,171,3390,
"Woodcroft",10965,81,4,3,323,11375,
"Beverley",7218,120,0,4,416,7768,
"Flinders Park",13807,119,14,0,519,14465,
"Henley Beach",14074,107,12,0,656,14840,
"Hindmarsh - Brompton",16463,244,10,0,910,17624,
"Royal Park - Hendon - Albert Park",5450,109,0,0,307,5868,
"Seaton - Grange",15291,227,15,11,736,16279,
"West Lakes",13452,177,15,0,716,14363,
"Woodville - Cheltenham",16351,342,3,5,786,17487,
"Dry Creek - South",0,0,0,0,0,0,
"Largs Bay - Semaphore",13439,401,8,10,625,14485,
"North Haven",13187,402,3,9,647,14246,
"Port Adelaide",9818,369,7,7,584,10785,
"The Parks",17070,325,14,16,1020,18442,
"Torrens Island",5,0,0,0,0,5,
"Adelaide Airport",0,0,0,0,0,0,
"Fulham",2580,13,3,0,106,2702,
"Lockleys",12142,92,0,4,469,12711,
"Plympton",22871,207,10,0,1150,24241,
"Richmond (SA)",15444,217,8,0,808,16465,
"West Beach",4723,34,4,0,208,4965,
"Barossa - Angaston",5701,58,4,0,347,6112,
"Light",8434,90,7,0,429,8964,
"Lyndoch",5728,46,0,0,375,6153,
"Mallala",2824,72,11,0,263,3166,
"Nuriootpa",6199,59,7,0,284,6546,
"Tanunda",4269,34,0,0,245,4547,
"Clare",3759,47,6,0,240,4044,
"Gilbert Valley",4477,61,3,0,358,4896,
"Goyder",3794,64,7,0,296,4157,
"Wakefield - Barunga West",8644,206,0,0,598,9450,
"Jamestown",4212,73,0,0,275,4566,
"Peterborough - Mount Remarkable",4799,186,12,16,384,5395,
"Port Pirie",12578,545,12,10,860,14007,
"Port Pirie Region",3075,69,0,0,166,3307,
"Kadina",4721,132,0,0,414,5267,
"Moonta",4339,160,3,0,330,4834,
"Wallaroo",3735,71,3,0,216,4040,
"Yorke Peninsula - North",6489,252,8,0,375,7128,
"Yorke Peninsula - South",3670,37,0,0,221,3933,
"Ceduna",1791,505,0,8,251,2556,
"Eyre Peninsula",5899,161,0,0,435,6494,
"Kimba - Cleve - Franklin Harbour",3852,55,0,0,341,4244,
"Le Hunte - Elliston",2059,58,0,0,145,2262,
"Port Lincoln",13801,762,13,9,1106,15686,
"West Coast (SA)",2712,525,0,0,289,3532,
"Western",26,51,0,0,0,74,
"Whyalla",19277,984,26,21,1445,21754,
"Whyalla - North",0,0,0,0,0,0,
"APY Lands",243,1892,3,10,124,2270,
"Coober Pedy",1203,293,3,6,269,1766,
"Quorn - Lake Gilles",1736,233,0,0,163,2136,
"Outback",1830,379,0,0,424,2637,
"Port Augusta",9991,2460,18,30,1006,13516,
"Roxby Downs",3424,114,0,3,348,3891,
"Goolwa - Port Elliot",10314,168,9,4,630,11125,
"Kangaroo Island",4174,68,0,0,462,4702,
"Strathalbyn",6549,129,0,0,424,7097,
"Strathalbyn Region",6707,81,3,0,562,7364,
"Victor Harbor",13427,176,6,5,757,14374,
"Yankalilla",5309,57,6,0,360,5730,
