Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Bridgewater - Gagebrook",5546,934,83,64,656,7287,
"Brighton - Pontville",4800,308,17,0,316,5444,
"Old Beach - Otago",4016,137,7,0,179,4338,
"Bellerive - Rosny",5576,91,21,0,245,5935,
"Cambridge",7213,153,7,4,277,7654,
"Geilston Bay - Risdon",3044,68,6,12,101,3222,
"Howrah - Tranmere",9772,185,4,7,422,10391,
"Lindisfarne - Rose Bay",6807,130,0,0,342,7283,
"Mornington - Warrane",4136,276,19,13,256,4700,
"Risdon Vale",2618,243,19,14,199,3097,
"Rokeby",5249,420,30,30,384,6109,
"South Arm",3857,136,3,0,208,4207,
"Austins Ferry - Granton",3641,151,13,8,182,3987,
"Berriedale - Chigwell",4857,237,26,15,380,5520,
"Claremont (Tas.)",6879,376,20,22,454,7746,
"Derwent Park - Lutana",3665,206,3,3,272,4151,
"Glenorchy",9675,616,15,20,739,11063,
"Montrose - Rosetta",4282,212,10,7,372,4879,
"Moonah",4692,166,7,17,406,5284,
"New Norfolk",5904,264,33,25,387,6602,
"West Moonah",3561,109,8,0,237,3915,
"Kingston - Huntingfield",10363,407,15,20,511,11304,
"Kingston Beach - Blackmans Bay",9573,248,15,10,443,10290,
"Margate - Snug",6967,422,9,3,313,7710,
"Mount Wellington",0,0,0,0,0,0,
"Taroona - Bonnet Hill",3398,19,0,0,155,3574,
"Hobart",6975,145,0,10,673,7807,
"Lenah Valley - Mount Stuart",7772,121,4,4,420,8320,
"Mount Nelson - Dynnyrne",4393,49,0,0,214,4658,
"New Town",5543,110,4,8,373,6036,
"Sandy Bay",11054,81,0,4,640,11777,
"South Hobart - Fern Tree",5663,83,0,0,342,6091,
"West Hobart",5493,76,5,0,305,5876,
"Dodges Ferry - Lewisham",6741,283,13,18,476,7534,
"Sorell - Richmond",7748,266,36,20,488,8554,
"Invermay",2690,119,0,0,247,3055,
"Kings Meadows - Punchbowl",3817,128,3,3,274,4224,
"Launceston",4577,75,6,0,481,5137,
"Legana",3804,93,3,0,172,4072,
"Mowbray",3283,141,3,3,291,3735,
"Newnham - Mayfield",7834,496,21,24,609,8988,
"Newstead",4793,101,4,3,318,5217,
"Norwood (Tas.)",3612,83,5,0,193,3884,
"Prospect Vale - Blackstone",5930,133,6,0,343,6418,
"Ravenswood",3025,279,14,21,286,3627,
"Riverside",5991,131,9,0,292,6419,
"South Launceston",4138,111,9,0,350,4610,
"Summerhill - Prospect",4231,156,4,10,266,4682,
"Trevallyn",4248,76,5,0,233,4561,
"Waverley - St Leonards",3130,135,0,0,245,3506,
"West Launceston",3819,80,5,0,229,4136,
"Youngtown - Relbia",4244,107,3,6,285,4644,
"Beauty Point - Beaconsfield",3331,132,0,7,289,3760,
"Deloraine",5017,239,25,14,426,5721,
"Grindelwald - Lanena",5190,112,3,3,396,5708,
"Hadspen - Carrick",3040,54,0,3,142,3241,
"Westbury",3654,79,0,14,278,4024,
"Dilston - Lilydale",3539,96,0,5,306,3947,
"George Town",5954,276,22,8,596,6847,
"Longford",3644,110,6,3,246,4014,
"Northern Midlands",3236,81,6,3,306,3629,
"Perth - Evandale",4624,90,7,0,340,5063,
"St Helens - Scamander",5399,214,10,6,450,6086,
"Flinders and Cape Barren Islands",711,138,0,0,46,899,
"Scottsdale - Bridport",5973,164,18,5,459,6619,
"Central Highlands",1826,95,6,6,126,2056,
"Derwent Valley",2692,142,7,8,248,3098,
"Southern Midlands",5289,299,19,22,437,6058,
"Wilderness - East",15,0,0,0,0,16,
"Bruny Island - Kettering",2614,117,4,8,210,2947,
"Cygnet",3396,501,15,14,313,4233,
"Geeveston - Dover",3005,357,16,7,272,3659,
"Huonville - Franklin",7201,536,30,19,525,8310,
"Forestier - Tasman",1981,107,7,7,272,2372,
"Triabunna - Bicheno",3806,198,9,5,353,4371,
"Acton - Upper Burnie",2752,233,13,6,160,3165,
"Burnie - Ulverstone Region",4241,290,28,5,415,4974,
"Burnie - Wivenhoe",3144,216,7,5,227,3603,
"Parklands - Camdale",5558,415,12,25,320,6328,
"Penguin - Sulphur Creek",4415,272,3,7,326,5020,
"Romaine - Havenview",3006,221,14,3,142,3401,
"Somerset",3403,243,9,11,242,3903,
"Ulverstone",6024,456,23,32,324,6852,
"West Ulverstone",3602,331,7,14,237,4187,
"Wynyard",5195,462,18,15,398,6088,
"Devonport",12120,766,29,31,809,13755,
"East Devonport",4000,361,22,18,301,4712,
"Latrobe",3991,238,24,4,245,4511,
"Miandetta - Don",3161,152,13,3,160,3495,
"Port Sorell",5031,217,17,9,352,5624,
"Quoiba - Spreyton",2592,157,11,13,131,2908,
"Sheffield - Railton",5414,294,10,7,415,6140,
"Turners Beach - Forth",2806,144,4,9,151,3112,
"King Island",1400,37,4,0,136,1583,
"North West",3206,480,16,11,323,4036,
"Smithton",2888,699,7,30,261,3885,
"Waratah",3088,250,11,8,224,3588,
"West Coast (Tas.)",3519,262,24,16,330,4152,
"Wilderness - West",0,0,0,0,0,0,
"Migratory - Offshore - Shipping (Tas.)",63,0,0,0,6,75,
"No Usual Address (Tas.)",758,51,0,3,97,911,
"Total",455132,21571,1119,889,31255,509961,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
