Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Augusta",4900,58,5,0,476,5432,
"Busselton",24122,506,12,0,1679,26334,
"Busselton Region",9404,79,0,0,792,10283,
"Margaret River",8025,128,5,0,667,8828,
"Australind - Leschenault",16104,342,4,6,1134,17588,
"Capel",4748,81,5,5,353,5196,
"College Grove - Carey Park",5870,348,10,5,514,6744,
"Collie",7742,341,0,10,711,8798,
"Dardanup",2917,19,0,0,205,3143,
"Davenport",10,3,0,0,0,14,
"Eaton - Pelican Point",10765,221,3,11,753,11758,
"Harvey",7920,228,0,9,801,8956,
"East Bunbury - Glen Iris",6294,239,6,8,444,6991,
"Waroona",3583,99,6,0,460,4150,
"Dalyellup",8230,251,9,8,502,8995,
"Gelorup - Stratham",2842,42,4,0,116,3007,
"South Bunbury - Bunbury",11158,155,4,4,838,12156,
"Withers - Usher",4380,336,7,13,409,5142,
"Bridgetown - Boyup Brook",5792,79,0,0,481,6361,
"Donnybrook - Balingup",5202,99,0,3,566,5871,
"Manjimup",4888,206,15,0,432,5539,
"Pemberton",4440,100,3,4,495,5039,
"Dawesville - Bouvard",6554,92,5,3,429,7087,
"Falcon - Wannanup",8102,112,0,5,554,8785,
"Greenfields",8994,347,4,0,512,9857,
"Halls Head - Erskine",17147,259,9,3,1115,18531,
"Mandurah",8148,243,8,0,690,9091,
"Mandurah - East",5299,124,5,0,393,5816,
"Mandurah - North",16570,264,5,12,924,17780,
"Mandurah - South",9179,324,8,5,646,10165,
"Pinjarra",8533,244,5,0,846,9627,
"City Beach",6321,7,0,0,282,6611,
"Claremont (WA)",7502,32,0,0,619,8149,
"Cottesloe",6869,29,0,0,480,7370,
"Floreat",7608,19,0,0,267,7900,
"Mosman Park - Peppermint Grove",9658,100,0,4,629,10396,
