Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Braidwood",3364,74,0,0,437,3875,
"Karabar",7293,492,12,0,448,8241,
"Queanbeyan",9699,306,11,0,819,10838,
"Queanbeyan - East",4337,170,0,5,272,4785,
"Queanbeyan Region",14992,319,0,14,1615,16945,
"Queanbeyan West - Jerrabomberra",11797,334,3,11,504,12642,
"Bombala",2174,49,5,0,170,2391,
"Cooma",5991,206,9,0,529,6737,
"Cooma Region",2917,60,4,0,295,3282,
"Jindabyne - Berridale",6265,80,7,0,596,6953,
"Batemans Bay",6541,583,13,4,553,7689,
"Batemans Bay - South",7378,337,5,4,629,8361,
"Bega - Tathra",7409,324,7,5,668,8405,
"Bega-Eden Hinterland",7915,208,3,13,661,8795,
"Broulee - Tomakin",2914,110,0,6,256,3287,
"Deua - Wadbilliga",18,0,0,0,6,25,
"Eden",2723,217,7,3,270,3218,
"Eurobodalla Hinterland",2794,266,7,12,222,3298,
"Merimbula - Tura Beach",9664,198,0,0,755,10621,
"Moruya - Tuross Head",7081,367,3,14,508,7968,
"Narooma - Bermagui",7856,421,3,7,688,8979,
"Goulburn",20590,932,24,24,1320,22890,
"Goulburn Region",11266,328,9,5,1066,12673,
"Yass",5864,247,0,3,394,6502,
"Yass Region",10579,176,8,8,750,11508,
"Young",9432,442,7,0,721,10604,
"Young Region",6495,344,16,8,469,7323,
"Avoca Beach - Copacabana",6853,121,0,3,336,7315,
"Box Head - MacMasters Beach",9967,260,18,6,435,10688,
"Calga - Kulnura",4113,118,0,0,464,4703,
"Erina - Green Point",12932,264,6,5,743,13950,
"Gosford - Springfield",17034,519,9,5,1239,18802,
"Kariong",5879,214,15,0,272,6381,
"Kincumber - Picketts Valley",6846,195,12,0,256,7308,
"Narara",6148,229,7,0,252,6642,
"Niagara Park - Lisarow",7560,162,5,0,298,8027,
"Point Clare - Koolewong",5838,121,0,0,243,6207,
"Saratoga - Davistown",6493,170,4,6,312,6979,
"Terrigal - North Avoca",12555,195,4,5,577,13345,
"Umina - Booker Bay - Patonga",21333,835,13,3,1404,23588,
"Wamberal - Forresters Beach",9095,193,10,0,466,9758,
"Woy Woy - Blackwall",12471,634,0,7,814,13928,
"Wyoming",10473,360,12,14,574,11434,
"Bateau Bay - Killarney Vale",19953,857,11,12,1174,22010,
"Blue Haven - San Remo",9712,809,30,16,472,11044,
"Budgewoi - Buff Point - Halekulani",8323,534,14,13,526,9405,
"Chittaway Bay - Tumbi Umbi",14137,574,11,17,620,15353,
"Gorokan - Kanwal - Charmhaven",19342,1193,28,22,1527,22114,
"Jilliby - Yarramalong",3004,82,0,3,273,3352,
"Lake Munmorah - Mannering Park",9711,458,15,8,538,10730,
"Ourimbah - Fountaindale",4541,128,0,0,189,4860,
"Summerland Point - Gwandalan",5265,270,11,9,221,5765,
"The Entrance",13203,643,13,9,1073,14942,
"Toukley - Norah Head",8461,458,15,5,832,9772,
"Tuggerah - Kangy Angy",4783,175,3,5,336,5301,
"Warnervale - Wadalba",13924,675,12,5,599,15219,
"Wyong",7680,556,15,8,559,8815,
"Bathurst",20947,1230,19,27,1611,23830,
"Bathurst - East",9771,734,17,19,642,11186,
"Bathurst Region",6063,189,6,13,638,6913,
"Oberon",4040,150,13,0,458,4663,
"Condobolin",4822,1108,9,3,692,6637,
"Cowra",7613,800,13,17,704,9144,
"Cowra Region",4809,220,7,3,411,5449,
"Forbes",8186,1045,14,31,885,10166,
"Grenfell",3215,109,4,0,323,3650,
"Parkes (NSW)",9017,1056,7,11,892,10983,
"Parkes Region",2671,382,0,3,323,3383,
"West Wyalong",5018,252,4,5,648,5929,
"Lithgow",11050,757,20,7,975,12814,
"Lithgow Region",6854,403,10,5,994,8262,
"Mudgee",10009,666,8,3,1040,11727,
"Mudgee Region - East",2904,178,0,0,359,3445,
"Mudgee Region - West",8498,544,4,8,1303,10362,
"Wollangambe - Wollemi",0,0,0,0,0,0,
"Blayney",6474,260,5,3,535,7273,
"Orange",16246,1240,19,33,1470,19010,
"Orange - North",17586,1180,24,13,922,19729,
"Orange Region",10409,358,4,6,820,11607,
"Grafton",15921,1564,31,35,1114,18673,
"Grafton Region",13187,757,24,17,1333,15313,
"Maclean - Yamba - Iluka",14340,749,18,6,1173,16283,
"Bellingen",5196,187,4,3,414,5803,
"Coffs Harbour - North",15176,1017,17,16,1233,17464,
"Coffs Harbour - South",9041,424,8,14,810,10294,
"Coramba - Nana Glen - Bucca",3376,123,0,4,314,3816,
"Dorrigo",2794,150,4,0,297,3245,
"Korora - Emerald Beach",8008,247,0,10,473,8740,
"Sawtell - Boambee",17431,1048,15,13,967,19474,
"Urunga",4165,167,0,0,336,4667,
"Woolgoolga - Arrawarra",11016,579,26,23,881,12521,
"Bourke - Brewarrina",1767,1629,12,16,579,4000,
"Cobar",3496,626,7,5,522,4657,
"Coonamble",2325,1172,4,16,599,4113,
"Nyngan - Warren",3604,812,6,6,537,4971,
"Walgett - Lightning Ridge",3687,1957,8,25,736,6413,
"Broken Hill",15010,1477,16,13,1192,17709,
"Far West",1430,744,4,7,326,2507,
"Coonabarabran",6387,794,17,9,746,7950,
"Dubbo - East",7808,1825,18,21,706,10379,
"Dubbo - South",13828,2042,22,16,1036,16942,
"Dubbo - West",6511,1537,29,43,662,8769,
"Dubbo Region",4769,324,0,13,520,5626,
"Gilgandra",3444,585,4,10,329,4376,
"Narromine",4633,1235,23,31,612,6537,
"Wellington",6016,1858,11,22,921,8831,
"Branxton - Greta - Pokolbin",8967,506,19,5,630,10124,
"Cessnock",18901,1692,52,56,1296,21995,
"Cessnock Region",6671,381,9,5,865,7926,
"Dungog",7882,426,14,11,638,8976,
"Kurri Kurri - Abermain",15197,1315,24,26,1079,17639,
"Singleton",14154,949,37,10,946,16094,
"Singleton Region",4028,223,0,9,663,4922,
"Maitland",5770,368,11,15,439,6601,
"Maitland - East",24752,1241,37,33,1356,27416,
"Maitland - North",7078,188,8,18,333,7611,
"Maitland - West",19982,1411,35,40,1051,22525,
"Thornton - Millers Forest",9323,386,11,0,284,10003,
"Anna Bay",5084,140,7,3,489,5726,
"Lemon Tree Passage - Tanilba Bay",5910,327,13,3,433,6685,
"Nelson Bay Peninsula",18961,558,21,20,1456,21015,
"Raymond Terrace",11713,1084,31,13,972,13825,
"Seaham - Woodville",4960,173,0,0,278,5412,
"Tea Gardens - Hawks Nest",4547,221,0,0,266,5038,
"Williamtown - Medowie - Karuah",11790,778,14,19,1071,13673,
"Muswellbrook",10239,1090,13,16,711,12072,
"Muswellbrook Region",3460,216,0,3,332,4013,
