Remoteness,State,Sex,Not.Reported,Kidney.Disease,No.Kidney.Disease
Major Cities of Australia,New South Wales,Male,0,2.1,40.2
Major Cities of Australia,New South Wales,Female,0.6,0.7,42.5
Major Cities of Australia,Victoria,Male,0.2,0,10.8
Major Cities of Australia,Victoria,Female,0,0.2,10.6
Major Cities of Australia,Queensland,Male,0.3,0.4,26.4
Major Cities of Australia,Queensland,Female,0.6,0.5,24.7
Major Cities of Australia,South Australia,Male,0.1,0.2,7.7
Major Cities of Australia,South Australia,Female,0.1,0.1,8.5
Major Cities of Australia,Western Australia,Male,0,0.2,14.8
Major Cities of Australia,Western Australia,Female,0.1,0.1,14.4
Major Cities of Australia,Tasmania,Male,0,0,0
Major Cities of Australia,Tasmania,Female,0,0,0
Major Cities of Australia,Northern Territory,Male,0,0,0
Major Cities of Australia,Northern Territory,Female,0,0,0
Major Cities of Australia,Australian Capital Territory,Male,0,0,2.9
Major Cities of Australia,Australian Capital Territory,Female,0.2,0,2.5
Inner Regional Australia,New South Wales,Male,0,0.7,31.4
Inner Regional Australia,New South Wales,Female,0.2,0.5,30.7
Inner Regional Australia,Victoria,Male,0,0,7.2
Inner Regional Australia,Victoria,Female,0.1,0.1,7.5
Inner Regional Australia,Queensland,Male,0.4,0.3,15.4
Inner Regional Australia,Queensland,Female,0.2,0.2,16.9
Inner Regional Australia,South Australia,Male,0,0,1.3
Inner Regional Australia,South Australia,Female,0,0,1.4
Inner Regional Australia,Western Australia,Male,0,0,2.9
Inner Regional Australia,Western Australia,Female,0,0,2.5
Inner Regional Australia,Tasmania,Male,0,0.1,5.8
Inner Regional Australia,Tasmania,Female,0.1,0.2,5.9
Inner Regional Australia,Northern Territory,Male,0,0,0
Inner Regional Australia,Northern Territory,Female,0,0,0
Inner Regional Australia,Australian Capital Territory,Male,0,0,0
Inner Regional Australia,Australian Capital Territory,Female,0,0,0
Outer Regional Australia,New South Wales,Male,0,0.5,16.6
Outer Regional Australia,New South Wales,Female,0.6,0,15.9
Outer Regional Australia,Victoria,Male,0,0,3.2
Outer Regional Australia,Victoria,Female,0,0,3.3
Outer Regional Australia,Queensland,Male,0,0.5,24.2
Outer Regional Australia,Queensland,Female,0.5,0.4,24.9
Outer Regional Australia,South Australia,Male,0.1,0,4.1
Outer Regional Australia,South Australia,Female,0,0.1,3.6
Outer Regional Australia,Western Australia,Male,0,0.1,5.3
Outer Regional Australia,Western Australia,Female,0.1,0.1,5.4
Outer Regional Australia,Tasmania,Male,0.4,0.1,4.5
Outer Regional Australia,Tasmania,Female,0.1,0.1,4.7
Outer Regional Australia,Northern Territory,Male,0.1,0.1,5.2
Outer Regional Australia,Tasmania,Female,0.2,0.1,6.3
Outer Regional Australia,Australian Capital Territory,Male,0,0,0
Outer Regional Australia,Australian Capital Territory,Female,0,0,0
Remote Australia,New South Wales,Male,0.1,0.1,2.2
Remote Australia,New South Wales,Female,0.3,0.2,2.4
Remote Australia,Victoria,Male,0,0,0
Remote Australia,Victoria,Female,0,0,0
Remote Australia,Queensland,Male,0.2,0.5,5.9
Remote Australia,Queensland,Female,0.1,0.5,4.9
Remote Australia,South Australia,Male,0,0,0.6
Remote Australia,South Australia,Female,0,0,0.5
Remote Australia,Western Australia,Male,0,0.1,6
Remote Australia,Western Australia,Female,0.1,0.5,6.4
Remote Australia,Tasmania,Male,0,0,0.3
Remote Australia,Tasmania,Female,0,0,0.4
Remote Australia,Northern Territory,Male,0.1,0.8,5.1
Remote Australia,Northern Territory,Female,0.2,0.6,5.4
Remote Australia,Australian Capital Territory,Male,0,0,0
Remote Australia,Australian Capital Territory,Female,0,0,0
Very Remote Australia,New South Wales,Male,0,0.3,1.2
Very Remote Australia,New South Wales,Female,0.1,0.2,1.4
Very Remote Australia,Victoria,Male,0,0,0
Very Remote Australia,Victoria,Female,0,0,0
Very Remote Australia,Queensland,Male,0.1,1.4,8.4
Very Remote Australia,Queensland,Female,0.2,1.5,9.1
Very Remote Australia,South Australia,Male,0,0.2,1.8
Very Remote Australia,South Australia,Female,0,0.2,2.3
Very Remote Australia,Western Australia,Male,0.1,1.1,7.7
Very Remote Australia,Western Australia,Female,0.3,1.4,7.4
Very Remote Australia,Tasmania,Male,0,0,0
Very Remote Australia,Tasmania,Female,0,0,0
Very Remote Australia,Northern Territory,Male,0.3,2.6,16.8
Very Remote Australia,Northern Territory,Female,0.3,3,14.7
Very Remote Australia,Australian Capital Territory,Male,0,0,0
Very Remote Australia,Australian Capital Territory,Female,0,0,0
