State or Territory,Gross weekly cash income of household: deciles,Not.Reported,Kidney.Disease,No.Kidney.Disease,Total,ppt
New South Wales,Tenth decile,0,0,2.7,2.7,0
New South Wales,Ninth decile,0.2,0,7.5,7.7,0
New South Wales,Eighth decile,0.1,0,10.4,10.5,0
New South Wales,Seventh decile,0.1,0.2,11,11.3,17.69911504
New South Wales,Sixth decile,0,0.2,17.4,17.6,11.36363636
New South Wales,Fifth decile,0.1,0.1,19.6,19.8,5.050505051
New South Wales,Fourth decile,0.2,0.7,22.9,23.8,29.41176471
New South Wales,Third decile,0.5,1.4,22.4,24.3,57.61316872
New South Wales,Second decile,0.4,0.4,24.1,24.9,16.06425703
New South Wales,First decile,0.3,1.1,17,18.4,59.7826087
New South Wales,Not applicable,0,0,0,0,0
New South Wales,Not stated,0,0,2.7,2.7,0
New South Wales,Not known,0.3,0.6,25.6,26.5,22.64150943
Victoria,Tenth decile,0,0,1.2,1.2,0
Victoria,Ninth decile,0.1,0,1.4,1.5,0
Victoria,Eighth decile,0,0,2.7,2.7,0
Victoria,Seventh decile,0,0,3.1,3.1,0
Victoria,Sixth decile,0,0,4.2,4.2,0
Victoria,Fifth decile,0,0,4.5,4.5,0
Victoria,Fourth decile,0,0,4.2,4.2,0
Victoria,Third decile,0,0,4.9,4.9,0
Victoria,Second decile,0,0,3.2,3.2,0
Victoria,First decile,0,0.2,4.2,4.4,45.45454545
Victoria,Not applicable,0,0,0,0,0
Victoria,Not stated,0,0,0.8,0.8,0
Victoria,Not known,0,0,7.7,7.7,0
Queensland,Tenth decile,0,0,4.2,4.2,0
Queensland,Ninth decile,0.2,0,8,8.2,0
Queensland,Eighth decile,0.4,0.4,10.1,10.9,36.69724771
Queensland,Seventh decile,0.3,0,11.1,11.4,0
Queensland,Sixth decile,0.4,0.2,15.3,15.9,12.57861635
Queensland,Fifth decile,0.4,0.7,19.8,20.9,33.49282297
Queensland,Fourth decile,0.1,0.9,21.4,22.4,40.17857143
Queensland,Third decile,0.3,1,18.8,20.1,49.75124378
Queensland,Second decile,0.2,0.8,16.9,17.9,44.69273743
Queensland,First decile,0.1,1.1,12.5,13.7,80.2919708
Queensland,Not applicable,0,0,0,0,0
Queensland,Not stated,0,0.3,3,3.3,90.90909091
Queensland,Not known,0.5,0.6,19.8,20.9,28.70813397
South Australia,Tenth decile,0,0,0.8,0.8,0
South Australia,Ninth decile,0,0,1.6,1.6,0
South Australia,Eighth decile,0,0.1,1.8,1.9,52.63157895
South Australia,Seventh decile,0,0,2.5,2.5,0
South Australia,Sixth decile,0.1,0,2.3,2.4,0
South Australia,Fifth decile,0,0.1,3.2,3.3,30.3030303
South Australia,Fourth decile,0,0.1,4.9,5,20
South Australia,Third decile,0,0,4.4,4.4,0
South Australia,Second decile,0,0.1,3.2,3.3,30.3030303
South Australia,First decile,0,0.3,3.2,3.5,85.71428571
South Australia,Not applicable,0,0,0,0,0
South Australia,Not stated,0,0,0.6,0.6,0
South Australia,Not known,0,0.1,3.5,3.6,27.77777778
Western Australia,Tenth decile,0,0,3.4,3.4,0
Western Australia,Ninth decile,0,0,3.7,3.7,0
Western Australia,Eighth decile,0,0.1,4.3,4.4,22.72727273
Western Australia,Seventh decile,0,0,3.8,3.8,0
Western Australia,Sixth decile,0.1,0.4,4.9,5.4,74.07407407
Western Australia,Fifth decile,0,0.5,8.3,8.8,56.81818182
Western Australia,Fourth decile,0.1,0.6,8.4,9.1,65.93406593
Western Australia,Third decile,0.1,0.3,8.1,8.5,35.29411765
Western Australia,Second decile,0,0.4,6.6,7,57.14285714
Western Australia,First decile,0.1,0.5,5.5,6.1,81.96721311
Western Australia,Not applicable,0,0,0,0,0
Western Australia,Not stated,0,0,1.2,1.2,0
Western Australia,Not known,0.1,0.7,13.7,14.5,48.27586207
Tasmania,Tenth decile,0,0,0.5,0.5,0
Tasmania,Ninth decile,0,0,1.2,1.2,0
Tasmania,Eighth decile,0,0,1,1,0
Tasmania,Seventh decile,0,0,1.3,1.3,0
Tasmania,Sixth decile,0.1,0,2.2,2.3,0
Tasmania,Fifth decile,0,0.1,2.9,3,33.33333333
Tasmania,Fourth decile,0.2,0,2.8,3,0
Tasmania,Third decile,0.1,0.1,3.2,3.4,29.41176471
Tasmania,Second decile,0,0,2,2,0
Tasmania,First decile,0.1,0,2,2.1,0
Tasmania,Not applicable,0,0,0,0,0
Tasmania,Not stated,0,0,0.3,0.3,0
Tasmania,Not known,0.1,0,1.7,1.8,0
Northern Territory,Tenth decile,0,0.2,1.6,1.8,111.1111111
Northern Territory,Ninth decile,0.1,0.3,2.7,3.1,96.77419355
Northern Territory,Eighth decile,0,0.3,3,3.3,90.90909091
Northern Territory,Seventh decile,0.1,0.4,3.3,3.8,105.2631579
Northern Territory,Sixth decile,0,0.8,4.4,5.2,153.8461538
Northern Territory,Fifth decile,0.2,0.7,4.7,5.6,125
Northern Territory,Fourth decile,0.1,0.8,5.6,6.5,123.0769231
Northern Territory,Third decile,0.1,0.7,5,5.8,120.6896552
Northern Territory,Second decile,0.1,0.6,4.2,4.9,122.4489796
Northern Territory,First decile,0.1,0.8,4.7,5.6,142.8571429
Northern Territory,Not applicable,0,0,0,0,0
Northern Territory,Not stated,0,0.1,0.8,0.9,111.1111111
Northern Territory,Not known,0.4,1.7,14,16.1,105.5900621
Australian Capital Territory,Tenth decile,0,0,0.4,0.4,0
Australian Capital Territory,Ninth decile,0,0,0.5,0.5,0
Australian Capital Territory,Eighth decile,0,0,0.4,0.4,0
Australian Capital Territory,Seventh decile,0,0,0.6,0.6,0
Australian Capital Territory,Sixth decile,0,0,0.5,0.5,0
Australian Capital Territory,Fifth decile,0,0,0.6,0.6,0
Australian Capital Territory,Fourth decile,0,0,0.2,0.2,0
Australian Capital Territory,Third decile,0,0,0.5,0.5,0
Australian Capital Territory,Second decile,0,0,0.3,0.3,0
Australian Capital Territory,First decile,0,0,0.2,0.2,0
Australian Capital Territory,Not applicable,0,0,0,0,0
Australian Capital Territory,Not stated,0,0,0.1,0.1,0
Australian Capital Territory,Not known,0,0.1,0.8,0.9,111.1111111
